pubid,preferred,year,date,title,name,name_1,type,research_orgs,times_cited,recent_citations,score,country,state,city,latitude,longitude,country_code,state_code
pub.1125686004,The proximal origin of SARS-CoV-2,2020,2020-03-17,Nature Medicine,Columbia University,Springer Nature,article,"[grid.505518.c,grid.21729.3f,grid.265219.b,grid.214007.0,grid.1013.3,grid.4305.2]",2716,2710,36466,United States,New York,New York,40.807598114013672,-73.962387084960938,US,US-NY
pub.1125686004,The proximal origin of SARS-CoV-2,2020,2020-03-17,Nature Medicine,Scripps Research Institute,Springer Nature,article,"[grid.505518.c,grid.21729.3f,grid.265219.b,grid.214007.0,grid.1013.3,grid.4305.2]",2716,2710,36466,United States,California,San Diego,32.896213531494141,-117.24085998535156,US,US-CA
pub.1125686004,The proximal origin of SARS-CoV-2,2020,2020-03-17,Nature Medicine,University of Edinburgh,Springer Nature,article,"[grid.505518.c,grid.21729.3f,grid.265219.b,grid.214007.0,grid.1013.3,grid.4305.2]",2716,2710,36466,United Kingdom,,Edinburgh,55.944896697998047,-3.189284086227417,GB,
pub.1125686004,The proximal origin of SARS-CoV-2,2020,2020-03-17,Nature Medicine,Zalgen (United States),Springer Nature,article,"[grid.505518.c,grid.21729.3f,grid.265219.b,grid.214007.0,grid.1013.3,grid.4305.2]",2716,2710,36466,United States,Maryland,Germantown,39.187908172607422,-77.250335693359375,US,US-MD
pub.1125686004,The proximal origin of SARS-CoV-2,2020,2020-03-17,Nature Medicine,University of Sydney,Springer Nature,article,"[grid.505518.c,grid.21729.3f,grid.265219.b,grid.214007.0,grid.1013.3,grid.4305.2]",2716,2710,36466,Australia,New South Wales,Sydney,-33.888580322265625,151.18730163574219,AU,AU-NSW
pub.1125686004,The proximal origin of SARS-CoV-2,2020,2020-03-17,Nature Medicine,Tulane University,Springer Nature,article,"[grid.505518.c,grid.21729.3f,grid.265219.b,grid.214007.0,grid.1013.3,grid.4305.2]",2716,2710,36466,United States,Louisiana,New Orleans,29.939493179321289,-90.122276306152344,US,US-LA
pub.1140641988,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,2021,2021-08-25,medRxiv,Tel Aviv University,Cold Spring Harbor Laboratory,preprint,"[grid.12136.37,grid.425380.8]",56,56,34575,Israel,,Tel Aviv,32.113388061523438,34.802154541015625,IL,
pub.1140641988,Comparing SARS-CoV-2 natural immunity to vaccine-induced immunity: reinfections versus breakthrough infections,2021,2021-08-25,medRxiv,Maccabi Institute for Health Services Research,Cold Spring Harbor Laboratory,preprint,"[grid.12136.37,grid.425380.8]",56,56,34575,Israel,,Tel Aviv,32.08001708984375,34.791061401367188,IL,
pub.1132688603,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,2020,2020-11-18,ACP Journal Club,Rigshospitalet,American College of Physicians,article,"[grid.414092.a,grid.6203.7,grid.4973.9,grid.475435.4,grid.5170.3]",133,133,30548,Denmark,,Copenhagen,55.696079254150391,12.566587448120117,DK,
pub.1132688603,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,2020,2020-11-18,ACP Journal Club,Copenhagen University Hospital,American College of Physicians,article,"[grid.414092.a,grid.6203.7,grid.4973.9,grid.475435.4,grid.5170.3]",133,133,30548,Denmark,,Copenhagen,55.697971343994141,12.565690994262695,DK,
pub.1132688603,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,2020,2020-11-18,ACP Journal Club,Statens Serum Institut,American College of Physicians,article,"[grid.414092.a,grid.6203.7,grid.4973.9,grid.475435.4,grid.5170.3]",133,133,30548,Denmark,Hovedstaden,Copenhagen,55.666000366210938,12.590999603271484,DK,DK-84
pub.1132688603,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,2020,2020-11-18,ACP Journal Club,Technical University of Denmark,American College of Physicians,article,"[grid.414092.a,grid.6203.7,grid.4973.9,grid.475435.4,grid.5170.3]",133,133,30548,Denmark,Hovedstaden,Kongens Lyngby,55.785797119140625,12.521533012390137,DK,DK-84
pub.1132688603,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers,2020,2020-11-18,ACP Journal Club,Nordsjællands Hospital,American College of Physicians,article,"[grid.414092.a,grid.6203.7,grid.4973.9,grid.475435.4,grid.5170.3]",133,133,30548,Denmark,,Hillerød,55.930839538574219,12.32647705078125,DK,
pub.1139010213,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",2021,2021-06-21,American Journal of Therapeutics,Newcastle University,Wolters Kluwer,article,"[grid.1006.7,grid.416994.7]",54,54,30332,United Kingdom,,Newcastle upon Tyne,54.978000640869141,-1.6150000095367432,GB,
